lookback,rebal_freq,gamma,max_wt,oos_sharpe,oos_ret,oos_vol,oos_dd,is_sharpe
63,5,0,0.3,1.2087434728836857,0.1652398892327469,0.09533858243537845,-0.055184529012245354,-0.6839325623442642
63,5,0,0.4,1.1716025105928134,0.15476246039616348,0.08941809141664883,-0.05446174188266184,-0.6920797484197917
42,5,0,0.4,1.1241128540833947,0.1552735442189721,0.09365033398253639,-0.05187502953994605,-0.4778357372095082
63,21,0,0.4,1.113462335335057,0.14947586952406233,0.08933923166258569,-0.054848265483550485,-0.7272240612085714
63,21,0,0.3,1.0878859866894313,0.15416786101684976,0.09575255338461079,-0.06183508122573811,-0.8089433980103173
42,5,0,0.3,1.0768149537252683,0.15693688756040625,0.09930850903440318,-0.053313296175165004,-0.5767252351733869
42,21,0,0.4,0.9434947216611433,0.13881774940588087,0.09413698600189924,-0.06299256042277113,-0.40546169389965375
42,21,0,0.3,0.9094139067532361,0.14162590113807894,0.10075269407876018,-0.07019033139172837,-0.6044606472523353
63,5,50,0.3,0.5928943415445903,0.13693542471736175,0.14662886559328636,-0.12755352330366676,-0.8017311167509384
63,5,50,0.4,0.4390264579144711,0.11799825475645798,0.15488418415480792,-0.14513673510666047,-0.780342854888388
42,5,50,0.4,0.17656440874264415,0.08459947852121985,0.19595952982603182,-0.19510637830548416,-0.5412193881653372
42,5,50,0.3,0.14455433034528928,0.07813591306440659,0.1946390190954489,-0.19558197556788515,-0.6488575981170316
63,21,50,0.3,0.08552812524444824,0.0630035754010223,0.1520385880534238,-0.16185998869805696,-0.7147125381571132
63,5,20,0.4,0.06882962179205956,0.06948594250155593,0.28310401821507464,-0.2971208692706586,-0.6368782298627625
42,5,20,0.4,0.04200372704297145,0.06359408460445248,0.3236399615335373,-0.34126287748924433,-0.7022403865551887
42,21,50,0.3,0.01636819210796625,0.05319004770333846,0.19489310012349448,-0.2300104292945616,-0.5023663101213521
63,5,20,0.3,-0.005059849067901011,0.04857745483140974,0.2811437949038234,-0.2992025534454138,-0.7087639100062921
42,21,50,0.4,-0.04902731071122077,0.04048904776322115,0.19399294186866545,-0.2305772429371219,-0.3653616401382795
63,21,50,0.4,-0.11710354666774686,0.03037412126066452,0.16759423004513424,-0.18395155098108618,-0.6157198806194354
42,21,20,0.4,-0.1416601049355122,0.009666212122840578,0.2847222786932181,-0.3374581703812347,-0.38578365116435054
42,21,20,0.3,-0.15904637085418097,0.00534660255632291,0.28075709746698224,-0.32389503252345453,-0.45186499241790656
42,5,20,0.3,-0.17191068221284528,-0.005914249405225336,0.3252517451824026,-0.35096599121471705,-0.7268374679712162
63,21,20,0.3,-0.264150097260324,-0.024866354897539966,0.2834235371254019,-0.3470193186301128,-0.4764846097825091
63,21,20,0.4,-0.28952647727005737,-0.033085433604736925,0.2869700705377579,-0.34910749617307724,-0.335042563052493
