date,frobenius_err,corr_accuracy,mean_var_ratio,ic
2021-01-04,0.7360274074424819,0.8337307250366145,1.1472119563019498,0.7090909090909092
2021-02-01,0.5599387040536224,0.633579721714921,1.1149582410879475,-0.3181818181818182
2021-03-01,0.48615302593389853,0.7000748763785614,1.325389831692741,-0.4000000000000001
2021-04-01,1.112463965433517,0.7194106142912639,2.077961587962427,0.6454545454545455
2021-05-03,0.6421452352758379,0.6993940622611089,1.5180790610356991,-0.30000000000000004
2021-06-01,1.4434122232506807,0.5320644212069914,1.6734740397877959,0.6181818181818182
2021-07-01,0.9830748511314666,0.4267985588193353,1.1753716239669474,0.03636363636363637
2021-08-02,15.370901755095282,0.5689523799815036,3.8254256285915105,0.6272727272727273
2021-09-01,7.772844345032385,0.6452478285763489,2.783973383860924,-0.29090909090909095
2021-10-01,2.4715429547419276,0.6890413472271079,1.535996472015986,0.8545454545454546
2021-11-01,0.45250098470853595,0.730173734877287,0.7312289769410459,-0.15454545454545454
2021-12-01,0.5622196179492063,0.8161950218391321,1.123084237420474,-0.18181818181818182
2022-01-03,0.37789511842020324,0.9077371759936675,0.8346962549491628,-0.8272727272727273
2022-02-01,0.4519466692065763,0.8897006281318498,0.7154955584110105,-0.7636363636363637
2022-03-01,0.23690072520963465,0.958373027894888,0.8083047112641943,0.7727272727272727
2022-04-01,0.3321566887596222,0.9464951341576398,0.9428783113030111,-0.6454545454545455
2022-05-02,0.47353097712855774,0.9237693747570024,0.7936539344959027,-0.9181818181818183
2022-06-01,0.9638815785201059,0.6885396609397849,0.8182393356362868,-0.43636363636363645
2022-07-01,4.8329413367714755,0.8066481916797518,2.84958429261048,0.07272727272727274
2022-08-01,1.024450810887326,0.42054602818704767,2.9372913728056447,-0.2545454545454546
2022-09-01,3.993253391003207,0.7913232368081788,2.3519638880068254,-0.10000000000000002
2022-10-03,1.4198679108770682,0.5752046250529095,1.5362872113481871,0.4000000000000001
2022-11-01,0.6106663661745888,0.7687465679993221,0.9697103459700857,0.18181818181818182
2022-12-01,0.7216991621919094,0.8776142459037435,1.7855610507387518,-0.11818181818181818
2023-01-03,0.4822719811628285,0.8025250051733144,1.4496610078155387,-0.26363636363636367
2023-02-01,0.7482745363301457,0.595061594730287,1.2594013696385888,0.45454545454545453
2023-03-01,1.245538953401912,0.7494976529997414,1.4001083850513936,0.5363636363636364
2023-04-03,1.0394370294571036,0.8907140118061537,1.5289543776019263,0.1272727272727273
2023-05-01,0.8045213483287988,0.8935115939125943,1.669322611994919,0.1272727272727273
2023-06-01,1.1840870635831429,0.8787433911436484,1.726020389582893,0.3454545454545455
2023-07-03,0.7002022207702019,0.6468335229473801,1.4397785763260718,0.3272727272727273
2023-08-01,0.3190272168694872,0.6667439388537287,1.305438883789109,-0.26363636363636367
2023-09-01,0.5995181956522607,0.8339694870475405,1.3213167763951408,0.08181818181818183
2023-10-02,0.34966908661776064,0.8524929358989541,0.8263705366450066,-0.21818181818181823
2023-11-01,0.8815996850871737,0.758986717899891,1.6590880469982523,0.33636363636363636
2023-12-01,0.7147596929335814,0.5848602352105122,1.4533710927646537,-0.4090909090909091
2024-01-02,0.3207760177288479,0.810741003360723,1.21583021501744,0.5181818181818182
2024-02-01,0.6750486700688693,0.7634775262117928,0.9922260536578492,0.5363636363636364
2024-03-01,0.5491722834745724,0.8021929903268835,1.1747895913240505,0.5545454545454546
2024-04-01,0.6577361130778456,0.8716243241588211,0.7622745827839116,-0.4000000000000001
2024-05-01,1.2051517760359622,0.7359340212500115,1.6677365662905943,0.4909090909090909
2024-06-03,0.9708413208840221,0.6229980545784924,1.0294259188455483,-0.018181818181818184
2024-07-01,3.566097857587621,0.7353414903402101,1.7959701946746358,-0.7363636363636363
2024-08-01,2.5335401176919565,0.7172846567880081,1.3664848616679512,0.5090909090909091
2024-09-03,2.519889033911277,0.8197830796318055,2.082210577406995,0.4909090909090909
2024-10-01,1.1671846633400416,0.747493613910205,2.247874709884982,0.6181818181818182
2024-11-01,0.5912529547551199,0.7974787779303577,1.3073149442491678,0.38181818181818183
2024-12-02,0.5332723067004078,0.5631724475334552,1.2790209796813576,0.5272727272727273
2025-01-02,0.705749252929279,0.716977024280514,1.0931992550296565,-0.07272727272727274
2025-02-03,0.29774207165241656,0.8387073533737089,1.1221987352010918,-0.4090909090909091
2025-03-03,0.5961870628314807,0.7825079603243241,0.9949899559150531,-0.3090909090909091
2025-04-01,0.7967204452931099,0.8809382271075206,0.2946712174157882,0.6000000000000001
2025-05-01,2.517616947549571,0.9015788022316129,2.8944421887309435,0.6090909090909091
2025-06-02,1.646057474515003,0.6100392899941631,3.8632071899382705,0.03636363636363637
2025-07-01,2.073917832272733,0.5126067682751416,4.453079854016264,0.6000000000000001
2025-08-01,1.3167775682634324,0.6993770940275955,1.972297365924552,0.10000000000000002
2025-09-02,0.9547847506636625,0.6666649715726294,2.0996110423944425,0.5363636363636364
2025-10-01,0.474527619923612,0.8808176996289123,0.8700224878574222,0.28181818181818186
2025-11-03,0.45247718912396717,0.8143093492376895,1.1812687483867435,-0.29090909090909095
2025-12-01,1.3831708254043327,0.6468185108960888,2.146081726823422,0.6363636363636364
2026-01-02,0.734612492596907,0.6490639648771439,0.95455653258979,-0.045454545454545456
2026-02-02,0.5385942754731572,0.7293622111295711,0.7733740818349848,-0.27272727272727276
2026-03-02,0.5887549632308825,0.8198196705659673,0.9846164384235775,-0.6636363636363638
2026-04-01,0.7053473688170069,0.507938821023265,1.6951205692882192,0.07272727272727274
