gamma,cov_halflife,max_wt,mu_method,use_mpo,is_sharpe,oos_sharpe,oos_max_dd,oos_ann_ret,oos_ann_vol
5.0,21,0.4,momentum,False,0.32958911083667414,2.330070381726902,-0.3586716730473792,8.935073736125457,1.4526923597146113
5.0,21,0.4,momentum,True,0.3279321397067335,2.3265431335058904,-0.3586725741106189,8.888143881896825,1.452956086252785
2.0,10,0.4,ewma,True,0.5433319443286977,2.306541486234079,-0.33708445790259944,8.468053096421366,1.4075089172863844
2.0,10,0.4,momentum,False,0.6599150394587983,2.3045632668777505,-0.3598247912113229,9.593302650237092,1.566215556988217
2.0,21,0.3,ewma,True,0.3533243749111024,2.3014804170651444,-0.26060585328457175,6.6119782342468065,1.1588752101888649
2.0,10,0.4,ewma,False,0.634570794800571,2.299985175715424,-0.34246738797315057,8.45115164887839,1.4185557874045442
1.0,10,0.4,momentum,False,-0.1842024313371277,2.296435507057515,-0.3604765461086777,9.626147480351507,1.5810426212138773
2.0,10,0.4,momentum,True,0.6574153956661074,2.2954466893258973,-0.359842081491776,9.44868200040687,1.5663885460099496
1.0,21,0.4,momentum,True,-0.253871726735328,2.295224620081062,-0.3599120188161691,9.602052002224946,1.5806419336869517
5.0,21,0.5,momentum,True,0.11261414390615881,2.294370047442584,-0.4155372000402044,9.590561537183659,1.7140087802678172
5.0,21,0.5,momentum,False,0.11614215908077209,2.293888936067878,-0.4164762032793871,9.575215243079306,1.7163005220506862
1.0,21,0.4,momentum,False,-0.2690162018143034,2.2929828950124707,-0.35990939732658916,9.563210780781741,1.580423992422388
5.0,42,0.5,momentum,False,-0.5642860231791055,2.2909376472656953,-0.43760607761538917,9.333776746567034,1.7677480748324355
5.0,42,0.5,momentum,True,-0.5758993741667586,2.289824624311076,-0.43748278650548184,9.318970442180403,1.767835335799175
1.0,42,0.4,momentum,False,-0.4749077613689591,2.286995340040917,-0.3519281108421653,9.435502284080703,1.5633708933189914
1.0,10,0.4,momentum,True,-0.1556762373014751,2.2869515034785617,-0.36046438493413074,9.460843036705507,1.5800599144448377
1.0,42,0.4,momentum,True,-0.47676584373359515,2.2719292573991403,-0.35425785373974933,9.203809861864265,1.5686015698868192
5.0,10,0.5,momentum,True,0.8405633569281532,2.224583492573671,-0.3542786150316334,8.81882733885694,1.6174830434425431
5.0,10,0.5,momentum,False,0.7982953364355927,2.215885455068819,-0.35601701842242056,8.690650641250233,1.6204951243384047
2.0,10,0.3,ewma,False,0.6306395400724933,2.2145996818093323,-0.2708645498875727,5.9977913391408775,1.1756234608940845
1.0,42,0.4,ewma,True,-0.28583353857944305,2.208949666707942,-0.37354352388718953,7.425341447592714,1.4635167895468213
1.0,42,0.4,ewma,False,-0.37495328832988273,2.201240392389464,-0.3739212857752571,7.322857361635974,1.4621799795478592
2.0,10,0.3,ewma,True,0.6295276297332609,2.1959320747253654,-0.27070007757619846,5.842533818199622,1.1751980788065206
1.0,42,0.5,ewma,False,-0.14516266608677322,2.1188703163044806,-0.4552199068946847,6.464060919633996,1.7157270370118658
5.0,10,0.4,momentum,False,0.5972453983915833,2.1080125931787994,-0.3584279183211783,6.48528459234358,1.5078098352821263
5.0,10,0.4,momentum,True,0.6177696959879708,2.093758717946523,-0.3584348607635605,6.2990803651600515,1.502650162837528
1.0,21,0.4,ewma,False,0.43981286680289394,2.083877989468899,-0.3741569263661583,6.1125080428256915,1.4741956272671526
1.0,42,0.5,ewma,True,-0.007644968447487234,2.076386674630508,-0.4556611292951537,5.928493029706277,1.7122334289600571
1.0,21,0.4,ewma,True,0.29870200961647625,2.0660539696820246,-0.36864982144247743,5.96520080924332,1.4839783366266648
1.0,10,0.4,ewma,False,0.08683492995832966,2.0629287541532615,-0.3870939364382102,5.992238254986924,1.4969293130443508
2.0,42,0.5,ewma,False,1.1623206794310443,2.0581875665638507,-0.4417859186368954,5.478424388645456,1.7180924619571067
2.0,42,0.4,momentum,True,-0.36403212048916833,2.0516234199361523,-0.3602083425770001,5.923080515584696,1.521040493322171
2.0,42,0.4,momentum,False,-0.3683843489360835,2.0417071175432797,-0.36019212192748756,5.810274919556275,1.5189785458742977
2.0,21,0.4,momentum,True,0.14898911153132072,2.0146447081167875,-0.3605905964542977,5.535375346455721,1.5182798248055385
2.0,21,0.4,momentum,False,0.11386109953606058,2.007174267389496,-0.360582166994997,5.459149015846492,1.5175461658726328
1.0,21,0.5,ewma,True,0.7970292302998145,2.007114566378907,-0.46161705649640616,5.349284247826392,1.7659069029143353
1.0,21,0.5,ewma,False,0.7814968545296954,2.00533471792402,-0.467927599129475,5.31200037493115,1.7572473071444192
2.0,42,0.5,ewma,True,1.159395306439706,1.9560887974128558,-0.4499305578053615,4.382164438042361,1.7171033589639435
1.0,10,0.4,ewma,True,0.03620603360673015,1.9247284379991618,-0.3940363229228108,4.727666036549452,1.5161877612915233
2.0,10,0.5,momentum,True,0.85894705427001,1.8314977013984557,-0.4379207729675157,3.6745404173428433,1.8871335521836297
1.0,42,0.5,momentum,True,-0.4239332454344737,1.8193567282585739,-0.43598489125229745,3.624709902292503,1.9371364364919648
2.0,10,0.5,momentum,False,0.8472599436524509,1.8160599982526047,-0.4379096715586852,3.535530701663169,1.8855998998347314
1.0,21,0.5,momentum,True,-0.3040225229881539,1.8095866950260115,-0.4369233461461084,3.5420303714525314,1.9390124650514213
1.0,21,0.5,momentum,False,-0.35016776921787623,1.8063967977827213,-0.4368963332870249,3.513797504107748,1.9381342893192806
1.0,42,0.5,momentum,False,-0.42050229669195666,1.8007803163737202,-0.4359678430461584,3.457270134889436,1.9320458534190994
1.0,10,0.5,ewma,False,0.04375811960989816,1.7763090411562725,-0.4778979836708673,3.2323987585260125,1.7667394841022612
1.0,10,0.5,momentum,False,0.18209537353336983,1.7703883973138,-0.4373958344512902,3.2130493019594297,1.9357775853416104
1.0,10,0.5,momentum,True,0.2056993037265153,1.7698270456077374,-0.4374049388203876,3.208526356615489,1.9358627349759252
1.0,10,0.5,ewma,True,0.019232377519472054,1.6367340032866504,-0.4854525748652978,2.2915254887895173,1.790825090444728
2.0,21,0.5,momentum,True,0.5475400720018,1.5406711581600268,-0.43769086623251663,1.720847251124574,1.8425235611261697
2.0,21,0.5,momentum,False,0.5382261386260898,1.5216065950588065,-0.4376896023492752,1.6246316234115472,1.842864569819309
2.0,42,0.5,momentum,True,-0.07398799395686961,1.4311189084341578,-0.4372635225252171,1.2162601464453489,1.8497055028532847
2.0,42,0.5,momentum,False,-0.05901196897261876,1.4260219961910205,-0.43724675409612135,1.1961530199102315,1.8482509707087909
