date,asset,pred_mu,real_mu,pred_vol,real_vol,correct_dir
2021-01-04,SPY,0.234628790876681,0.4246549390986356,0.15013225861654778,0.16414691311798413,1
2021-01-04,QQQ,0.4059749475503469,0.6709905832657537,0.19706914038610152,0.2315817467384453,1
2021-01-04,TLT,0.10596978983858231,-0.6068866424347985,0.11336703138844545,0.11685115332709756,0
2021-01-04,IEF,0.05512558344930809,-0.18668228368568052,0.036588989179468664,0.03930708003556308,0
2021-01-04,SHY,0.013288841094340562,-0.004162162025910909,0.003846189802455257,0.0034523793895070427,0
2021-01-04,GLD,0.21923623215163782,-0.6989262911438043,0.16720092962212685,0.16595766981302418,0
2021-01-04,AAPL,0.12681525491690332,0.47416502692499707,0.6183579657778802,0.3574595354886081,1
2021-01-04,NVDA,0.8124490661706774,0.4633422717833966,0.3439533592589605,0.4280249874206353,1
2021-01-04,TSLA,1.2547605132321953,2.0973810098401215,0.8096905644447414,0.6402668533399243,1
2021-01-04,MSFT,0.40299023064342393,1.3612207802365694,0.24871305268607233,0.2825773442894372,1
2021-01-04,AMZN,0.42785049823613597,0.5085249233406599,0.29960491317931365,0.30224128071850526,1
2021-02-01,SPY,0.23589942278274045,0.18303843262123198,0.16144369128270622,0.16206942840011204,1
2021-02-01,QQQ,0.41712153850568845,-0.47612967199360634,0.2183335455291728,0.23875992209130145,0
2021-02-01,TLT,0.06835788643000618,-1.0101892275702058,0.11302210827493546,0.17270675622781728,0
2021-02-01,IEF,0.04234931106373734,-0.36294910361639765,0.03735368205002377,0.06727484201437137,0
2021-02-01,SHY,0.01231043292257388,-0.01665298370251822,0.0035721313930522796,0.007746675023303381,0
2021-02-01,GLD,0.16633639238585188,-0.9596827574642091,0.16520966202946138,0.1691693318137995,0
2021-02-01,AAPL,0.15385846492475871,-1.0837810776092542,0.518779546770475,0.30053970524655693,0
2021-02-01,NVDA,0.7723164091203596,-0.2648468264140518,0.37788579983548304,0.5259196529883348,0
2021-02-01,TSLA,1.306498911657847,-2.814827404336864,0.7322116851109974,0.6157990940319642,0
2021-02-01,MSFT,0.46533279747723194,-0.601011625604714,0.2749542272921684,0.2012496262804584,0
2021-02-01,AMZN,0.44552088500047804,-1.2499249301205761,0.305436679972021,0.2304416893539797,0
2021-03-01,SPY,0.2511472929762747,0.17177562982323913,0.16492530055548593,0.15021491133480805,1
2021-03-01,QQQ,0.3937168092063621,-0.30958315115338664,0.22641797779757503,0.2861380232720306,0
2021-03-01,TLT,0.00010813882591006519,-0.41033583961098774,0.1565425978892338,0.13856633843757823,0
2021-03-01,IEF,0.01628417070970924,-0.25771331060183567,0.057584371714712715,0.05466143457707057,0
2021-03-01,SHY,0.010589569543347319,-0.0013855004535696658,0.006382326637254373,0.003315660749257486,0
2021-03-01,GLD,0.09022805423238492,-0.2860116465365903,0.171342669969181,0.13464334526277308,0
2021-03-01,AAPL,0.10452462408815667,-0.7129381220996218,0.43841498711747096,0.326085788096134,0
2021-03-01,NVDA,0.7664757747304782,-0.7337698176856873,0.4502142360499804,0.5359547777828152,0
